timestamp,ticker,side,size,price,commission
2010-05-12 00:00:00,VIX,SELL,39184.952978056426,25.52,2
2010-05-14 00:00:00,VIX,BUY,71195.19625590534,31.24,2
2010-05-19 00:00:00,VIX,SELL,99507.76703733229,35.32,2
2010-05-28 00:00:00,VIX,BUY,130689.5568720688,32.07,2
2010-06-09 00:00:00,VIX,SELL,160336.7552118257,33.73,2
2010-06-14 00:00:00,VIX,BUY,195326.25836088098,28.58,2
2010-06-25 00:00:00,VIX,SELL,230377.0808266776,28.530001000000002,2
2010-07-08 00:00:00,VIX,BUY,269272.4537903249,25.709999,2
2010-07-21 00:00:00,VIX,SELL,308274.01537384914,25.639999,2
2010-07-23 00:00:00,VIX,BUY,350881.60133923416,23.469998999999998,2
2010-08-12 00:00:00,VIX,SELL,389746.73931047396,25.73,2
2010-09-01 00:00:00,VIX,BUY,431605.259271065,23.889999,2
2010-09-22 00:00:00,VIX,SELL,476029.9594043391,22.51,2
2010-10-06 00:00:00,VIX,BUY,522563.23069331073,21.49,2
2010-10-21 00:00:00,VIX,SELL,574457.366655947,19.27,2
2010-11-05 00:00:00,VIX,BUY,629221.8792517849,18.26,2
2010-11-15 00:00:00,VIX,SELL,678726.8272960944,20.200001,2
2010-11-23 00:00:00,VIX,BUY,727199.9270766615,20.629998999999998,2
2010-11-29 00:00:00,VIX,SELL,773646.7433122947,21.530001000000002,2
2010-12-06 00:00:00,VIX,BUY,829140.6389837709,18.02,2
2010-12-29 00:00:00,VIX,SELL,887011.0060051617,17.280001000000002,2
2011-01-07 00:00:00,VIX,BUY,945354.0665852702,17.139999,2
2011-01-21 00:00:00,VIX,SELL,999495.921167937,18.469998999999998,2
2011-02-04 00:00:00,VIX,BUY,1062270.5602137626,15.93,2
2011-02-16 00:00:00,VIX,SELL,1122079.1762310243,16.719998999999998,2
2011-03-04 00:00:00,VIX,BUY,1174545.0761505363,19.059998999999998,2
2011-03-10 00:00:00,VIX,SELL,1220248.9173618637,21.879998999999998,2
2011-03-23 00:00:00,VIX,BUY,1272413.758259099,19.17,2
2011-05-03 00:00:00,VIX,SELL,1332293.9941944142,16.700001,2
2011-05-13 00:00:00,VIX,BUY,1390876.302337355,17.07,2
2011-05-19 00:00:00,VIX,SELL,1455309.2920280767,15.52,2
2011-05-24 00:00:00,VIX,BUY,1511426.0148114662,17.82,2
2011-05-25 00:00:00,VIX,SELL,1570008.322954407,17.07,2
2011-05-31 00:00:00,VIX,BUY,1634733.2420482582,15.45,2
2011-06-06 00:00:00,VIX,SELL,1688816.5303121847,18.49,2
2011-06-23 00:00:00,VIX,BUY,1740656.8594028882,19.290001,2
2011-07-12 00:00:00,VIX,SELL,1790983.9831911558,19.870001000000002,2
2011-07-22 00:00:00,VIX,BUY,1848061.608761932,17.52,2
2011-07-28 00:00:00,VIX,SELL,1890184.607919472,23.74,2
2011-08-17 00:00:00,VIX,BUY,1921850.2190657672,31.58,2
2011-08-22 00:00:00,VIX,SELL,1945412.8963410424,42.439999,2
2011-08-29 00:00:00,VIX,BUY,1976391.831625396,32.279999,2
2011-09-09 00:00:00,VIX,SELL,2002352.3716046275,38.52,2
2011-09-16 00:00:00,VIX,BUY,2034631.261210825,30.98,2
2011-09-23 00:00:00,VIX,SELL,2058873.6854532494,41.25,2
2011-10-07 00:00:00,VIX,BUY,2086497.9940824122,36.200001,2
2011-10-21 00:00:00,VIX,SELL,2118426.4742867546,31.32,2
2011-10-26 00:00:00,VIX,BUY,2151916.0913835526,29.860001,2
2011-11-03 00:00:00,VIX,SELL,2184702.976629454,30.5,2
2011-11-11 00:00:00,VIX,BUY,2217991.9235905414,30.040001,2
2011-11-15 00:00:00,VIX,SELL,2250022.674136049,31.219998999999998,2
