timestamp,ticker,side,size,price,commission
2010-05-12 00:00:00,SPX,BUY,1216.7187434676825,1171.670044,2
2010-05-26 00:00:00,SPX,SELL,2153.092212152827,1067.949951,2
2010-09-20 00:00:00,SPX,BUY,3028.204912776253,1142.709961,2
2011-06-09 00:00:00,SPX,SELL,3804.0001028460747,1289.0,2
2011-07-22 00:00:00,SPX,BUY,4547.483460067776,1345.02002,2
2011-08-03 00:00:00,SPX,SELL,5340.920173158567,1260.339966,2
2011-11-03 00:00:00,SPX,BUY,6133.847248423009,1261.150024,2
2012-05-21 00:00:00,SPX,SELL,6893.731447846137,1315.98999,2
2012-07-27 00:00:00,SPX,BUY,7615.247801680616,1385.969971,2
2012-11-15 00:00:00,SPX,SELL,8354.16590185751,1353.329956,2
2013-01-02 00:00:00,SPX,BUY,9037.963969384544,1462.420044,2
2014-10-14 00:00:00,SPX,SELL,9570.530420945366,1877.699951,2
2014-11-12 00:00:00,SPX,BUY,10061.147371761017,2038.25,2
2015-07-02 00:00:00,SPX,SELL,10542.662017528059,2076.780029,2
2015-08-06 00:00:00,SPX,BUY,11022.60978561877,2083.560059,2
2015-08-13 00:00:00,SPX,SELL,11502.596754625343,2083.389893,2
2015-10-30 00:00:00,SPX,BUY,11983.513935172175,2079.360107,2
2016-01-12 00:00:00,SPX,SELL,12499.32880515897,1938.680054,2
2016-03-21 00:00:00,SPX,BUY,12986.75323108625,2051.600098,2
2016-10-25 00:00:00,SPX,SELL,13453.353970676792,2143.159912,2
2016-11-29 00:00:00,SPX,BUY,13906.938668505687,2204.659912,2
2018-03-29 00:00:00,SPX,SELL,14285.601743816635,2640.8701170000004,2
2018-05-31 00:00:00,SPX,BUY,14655.250611621705,2705.27002,2
2018-10-24 00:00:00,SPX,SELL,15031.742446682056,2656.100098,2
2019-02-13 00:00:00,SPX,BUY,15394.978586304998,2753.030029,2
2019-05-17 00:00:00,SPX,SELL,15394.978586304998,2859.530029,2
