,base,equity,message,realised_pnl,total_commission,unrealised_pnl
2010-07-16,1000000.0,876672.4347573852,MTM,-126198.18122731106,4.0,2874.6159846961523
2010-07-19,1000000.0,870707.740443728,MTM,-126198.18122731106,4.0,-3090.0783289608903
2010-07-20,1000000.0,859255.9116491781,MTM,-126198.18122731106,4.0,-14541.907123510897
2010-07-21,1000000.0,872262.1522384434,MTM,-126198.18122731106,4.0,-1535.6665342456188
2010-07-22,1000000.0,849714.2060753745,MTM,-126198.18122731106,4.0,-24083.612697314413
2010-07-23,1000000.0,841296.2179556298,MTM,-126198.18122731106,4.0,-32501.600817059207
2010-07-26,1000000.0,829732.0280903315,MTM,-126198.18122731106,4.0,-44065.79068235747
2010-07-27,1000000.0,830827.6262491257,MTM,-126198.18122731106,4.0,-42970.19252356326
2010-07-28,1000000.0,838047.029174123,MTM,-126198.18122731106,4.0,-35750.78959856606
2010-07-29,1000000.0,842354.3246571113,MTM,-126198.18122731106,4.0,-31443.49411557767
2010-07-30,1000000.0,842288.8281420972,MTM,-126198.18122731106,4.0,-31508.990630591747
2010-08-02,1000000.0,819572.3993644343,MTM,-126198.18122731106,4.0,-54225.419408254646
2010-08-03,1000000.0,824628.8385682973,MTM,-126198.18122731106,4.0,-49168.98020439159
2010-08-04,1000000.0,818280.1992957816,MTM,-126198.18122731106,4.0,-55517.61947690747
2010-08-05,1000000.0,819619.148746232,MTM,-126198.18122731106,4.0,-54178.67002645694
2010-08-06,1000000.0,823523.8673110816,MTM,-126198.18122731106,4.0,-50273.9514616073
2010-08-09,1000000.0,817765.1480057047,MTM,-126198.18122731106,4.0,-56032.670766984214
2010-08-10,1000000.0,824066.9227224864,MTM,-126198.18122731106,4.0,-49730.8960502025
2010-08-11,1000000.0,853647.0429991153,MTM,-126198.18122731106,4.0,-20150.775773573616
2010-08-12,1000000.0,859134.1784163817,MTM,-126198.18122731106,4.0,-14663.640356307293
2010-08-13,1000000.0,863216.7526942469,MTM,-126198.18122731106,4.0,-10581.066078442045
2010-08-16,1000000.0,863095.0194614505,MTM,-126198.18122731106,4.0,-10702.799311238441
2010-08-17,1000000.0,850772.3127768561,MTM,-126198.18122731106,4.0,-23025.505995832875
2010-08-18,1000000.0,849255.3924394535,MTM,-126198.18122731106,4.0,-24542.42633323548
2010-08-19,1000000.0,866606.4199690198,MTM,-126198.18122731106,4.0,-7191.39880366915
2010-08-20,1000000.0,870295.7913635412,MTM,-126198.18122731106,4.0,-3502.0274091477854
2010-08-23,1000000.0,874350.2472825153,MTM,-126198.18122731106,4.0,552.4285098263036
2010-08-24,1000000.0,888854.6629487135,MTM,-126198.18122731106,4.0,15056.844176024537
2010-08-25,1000000.0,885614.8472656282,MTM,-126198.18122731106,4.0,11817.028492939195
2010-08-26,1000000.0,893208.8220510627,MTM,-126198.18122731106,4.0,19411.003278373733
2010-08-27,1000000.0,876944.0195818691,MTM,-126198.18122731106,4.0,3146.200809180103
2010-08-30,1000000.0,891616.9187990348,MTM,-126198.18122731106,4.0,17819.100026345797
2010-08-31,1000000.0,891233.088077739,MTM,-126198.18122731106,4.0,17435.26930505006
2010-09-01,1000000.0,862242.8877682491,MTM,-126198.18122731106,4.0,-11554.931004439855
2010-09-02,1000000.0,853057.1230319764,MTM,-126198.18122731106,4.0,-20740.695740712585
2010-09-03,1000000.0,839563.9495115256,MTM,-126198.18122731106,4.0,-34233.86926116345
2010-09-07,1000000.0,851427.8425601989,MTM,-126198.18122731106,4.0,-22369.97621249008
2010-09-08,1000000.0,844845.1099205117,MTM,-126198.18122731106,4.0,-28952.708852177253
2010-09-09,1000000.0,839872.911555759,MTM,-126198.18122731106,4.0,-33924.90721692994
2010-09-10,1000000.0,834844.5907107871,MTM,-126198.18122731106,4.0,-38953.228061901835
2010-09-13,1000000.0,823280.4017818623,MTM,-126198.18122731106,4.0,-50517.41699082673
2010-09-14,1000000.0,824029.5455027369,MTM,-126198.18122731106,4.0,-49768.273269952064
2010-09-15,1000000.0,820312.1709232609,MTM,-126198.18122731106,4.0,-53485.64784942812
2010-09-16,1000000.0,820696.0016445566,MTM,-126198.18122731106,4.0,-53101.81712813239
2010-09-17,1000000.0,819825.2379920753,MTM,-126198.18122731106,4.0,-53972.58078061371
2010-09-20,1000000.0,803792.5288900529,MTM,-196201.4711099471,6.0,0.0
2010-09-21,1000000.0,797663.6050034042,MTM,-196201.4711099471,6.0,-6128.923886648767
2010-09-22,1000000.0,786158.532060903,MTM,-196201.4711099471,6.0,-17633.996829149863
